Размер,Раздел,Категория,Бренд,Материал одежды,Цвет,Состояние товара,Продавец,Скидка,Цена,Описание,Материал футболок
INT_S,Женское,Майки,NIKE,Другое,Черный,Новое с биркой,Бутик,1.0,10980.0,"nikeskims matte women's square-neck tank • obsidian • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Шорты,NIKE,Другое,Черный,Новое с биркой,Бутик,1.0,17310.0,"nikeskims matte women's 3"" fold-over waistband shorts • nskm obsidian • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Майки,NIKE,Другое,Розовый,Новое с биркой,Бутик,1.0,16240.0,"nikeskims matte women's square-neck tank • nskm swertia • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_M,Женское,Спортивные брюки и шорты,NIKE,Другое,Розовый,Новое с биркой,Бутик,1.0,23120.0,"nikeskims matte women's high-waisted v-line 26"" leggings • nskm swertia • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_L,Женское,Спортивные брюки и шорты,ALO YOGA,Другое,Зеленый,Новое с биркой,Бутик,1.0,13940.0,"alo yoga knitted sweatpants women's • olive tree • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_L,Женское,Кардиганы,ALO YOGA,Другое,Белый,Новое с биркой,Бутик,1.0,30700.0,"alo yoga knitwear unisex • ivory/lvory • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/M,Женское,Спортивные брюки и шорты,ALO YOGA,Другое,Серый,Новое с биркой,Бутик,1.0,22030.0,"alo yoga knitted sports pants women's • sports heather gray/athletic heather grey • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Спортивные брюки и шорты,ALO YOGA,Другое,Коричневый,Новое с биркой,Бутик,1.0,25290.0,"alo yoga knitted sweatpants women's • espresso/espresso • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_2XS/XS/S/M,Женское,Юбки-шорты,ALO YOGA,Другое,Черный,Новое с биркой,Бутик,4.0,16780.0,"alo yoga casual short skirts women's • black • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_L,Женское,Спортивные брюки и шорты,NIKE,Другое,Черный,Новое с биркой,Бутик,1.0,13750.0,"nikeskims matte women's high-waisted v-line 26"" leggings • obsidian • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Купальники,PHILIPP PLEIN,Полиэстер,Мульти,Новое с биркой,Частный продавец,16.0,30000.0,"купальник раздельный philipp plein- новый, размер s; m; l. лиф- на паралоновых чашках. низ- бикини, сбоку на завязках. невероятно классно сидит на фигуре.",missing_label
INT_M,Женское,Купальники,PHILIPP PLEIN,Полиамид,Зеленый,Новое с биркой,Частный продавец,16.0,30000.0,"купальник раздельный philipp plein- новый, размер xs; m. низ- высокая посадка. лиф- паралоновые чашки, очень хорошо держит грудь. с золотым украшением по лифу и низу.",missing_label
EU_44,Женское,Другие платья,DOLCE&GABBANA,Другое,Коричневый,Новое с биркой,Частный продавец,41.0,65000.0,"ажурное цветочное кружево и застегивающая молния на спине неизбежно будет приковывать взгляды. элегантное платье,dolce&gabbana,новое с биркой, произведено в италии. 75% хлопок, 15% вискоза,10% полиамид, подкладка 76% шелк, 16% хлопок, 4% эластан, 4 % полиамид. в моем профиле можно найти большой ассортимент обуви мировых брендов.",missing_label
IT_44,Женское,Куртки,BLUGIRL,Кожа,Черный,Новое с биркой,Частный продавец,40.0,44900.0,"куртка кожаная blugirl- новая, размер 44it. состав-100% натуральная, мягкая кожа. невероятно нежная, воздушная, мягкая и стильная.",missing_label
IT_42,Женское,Повседневные платья,ELISABETTA FRANCHI,Другое,Бирюзовый,Новое с биркой,Частный продавец,58.0,35680.0,"платье elisabetta franchi- новое, размер 42it, есть размер 46it. маломерит.. с рукавом, сбоку скрытые карманы.. цвет- ментоловый.",missing_label
IT_42,Женское,Куртки,'S MAX MARA,Кожа,Черный,Новое с биркой,Частный продавец,32.0,40900.0,"куртка- новая, размер 42it. состав-100% кожа. модель-косуха, цвет-черный. на подкладе. невероятно мягкая, комфортная и стильная.",missing_label
FR_38,Женское,Другие платья,LANVIN,Шелк,Другое,Отличное состояние,Частный продавец,13.0,65000.0,"эффектное платье lanvin франция. возможны следы носки,есть зацепка на спине около молнии - почти не видно,можно убрать. в моем профиле можно найти большой ассортимент обуви мировых брендов.",missing_label
INT_S/L,Женское,Майки,SKIMS,Хлопок,Черный,Новое с биркой,Бутик,1.0,15630.0,"skims tank tops women's onyx/onyx • onyx/onyx • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_M/L/XL,Женское,Футболки,ACNE STUDIOS,Хлопок,Белый,Новое с биркой,Бутик,3.0,29000.0,"acne studios cotton blend t shirt • белый цвет • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Худи и толстовки,RALPH LAUREN,Хлопок,Черный,Отличное состояние,Частный продавец,60.0,30000.0,"женское вязаное худи/толстовка, или же кардиган/джемпер на молнии с капюшоном от ralph lauren в черном цвете. неуловимая вещь. на груди вышит логотип бренда красного цвета. в отличном состоянии! цвет насыщенный. размер s, идет размер в размер, не оверсайз. замеры: ширина груди 42(тянется до 50), ширина плеч 39(тянется до 43), длина рукава от плеча 65, длина по спине(без учета капюшона) 53-54.",missing_label
INT_XS/S,Женское,Футболки,ACNE STUDIOS,Хлопок,Розовый,Новое с биркой,Бутик,17.0,29780.0,"acne studios t shirts women's pink • pink • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S/M,Женское,Худи и толстовки,ALO YOGA,Хлопок,Черный,Новое с биркой,Бутик,13.0,16150.0,"alo yoga sweatshirts unisex • black • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
